topicID,tagID,weight
ART0,1,5
ART0,14,3
ART0,249,1
BOL0,2,5
BOL0,17,3
BOL0,173,1
CHE0,3,5
CHE0,16,3
CHE0,35,1
COS0,56,5
COS0,77,3
COS0,79,1
CUS0,5,5
CUS0,24,3
CUS0,25,1
ETH0,15,5
ETH0,51,3
ETH0,5,1
GOG0,7,5
GOG0,12,3
GOG0,17,1
HSR0,8,5
HSR0,245,3
HSR0,242,1
LAW0,9,5
LAW0,52,3
LAW0,53,1
LIN0,10,5
LIN0,12,3
LIN0,37,1
LIT0,11,5
LIT0,15,3
LIT0,5,1
LOG0,12,5
LOG0,31,3
LOG0,35,1
MAT0,13,5
MAT0,12,3
MAT0,41,1
MST0,14,5
MST0,15,3
MST0,13,1
PHI0,15,5
PHI0,11,3
PHI0,12,1
PYS0,16,5
PYS0,36,3
PYS0,42,1
PYL0,17,5
PYL0,16,3
PYL0,7,1
ABI1,16,5
ABI1,37,3
ABI1,2,2
ABI1,38,1
ABI2,2,5
ABI2,12,3
ABI2,16,2
ABI2,13,1
ACO1,97,5
ACO1,16,3
ACO1,36,2
ACO1,42,1
ACT1,2,5
ACT1,16,3
ACT1,174,2
ACT1,177,1
AED1,16,5
AED1,12,3
AED1,100,2
AED1,38,1
AES1,16,5
AES1,38,3
AES1,39,2
AES1,2,1
AES2,15,5
AES2,1,3
AES2,14,2
AES2,245,1
AGN1,12,5
AGN1,15,3
AGN1,35,2
AGN1,41,1
AGO1,3,5
AGO1,12,3
AGO1,4,2
AGO1,17,1
ALG1,13,5
ALG1,12,3
ALG1,35,2
ALG1,42,1
API1,2,5
API1,171,3
API1,157,2
API1,168,1
AHS1,245,5
AHS1,1,3
AHS1,11,2
AHS1,5,1
ASN0,138,5
ASN0,137,3
ASN0,142,2
ASN0,143,1
ATS1,147,5
ATS1,149,3
ATS1,16,2
ATS1,159,1
AUT1,12,5
AUT1,15,3
AUT1,17,2
AUT1,24,1
AUT2,12,5
AUT2,4,3
AUT2,41,2
AUT2,71,1
BAR1,16,5
BAR1,37,3
BAR1,38,2
BAR1,99,1
BOC1,2,5
BOC1,174,3
BOC1,173,2
BOC1,3,1
BOP1,16,5
BOP1,2,3
BOP1,36,2
BOP1,37,1
BOT1,166,5
BOT1,157,3
BOT1,143,2
BOT1,154,1
CHA1,12,5
CHA1,43,3
CHA1,42,2
CHA1,13,1
CHT1,13,5
CHT1,42,3
CHT1,41,2
CHT1,12,1
CHO1,7,5
CHO1,143,3
CHO1,149,2
CHO1,154,1
CLM1,99,5
CLM1,16,3
CLM1,37,2
CLM1,38,1
CLI1,11,5
CLI1,15,3
CLI1,24,2
CLI1,27,1
EAS0,143,5
EAS0,149,3
EAS0,147,2
EAS0,157,1
EMB1,2,5
EMB1,174,3
EMB1,173,2
EMB1,177,1
ENG1,106,5
ENG1,110,3
ENG1,107,2
ENG1,111,1
ENI1,27,5
ENI1,32,3
ENI1,31,2
ENI1,40,1
FST1,16,5
FST1,143,3
FST1,153,2
FST1,100,1
FOS1,193,5
FOS1,194,3
FOS1,174,2
FOS1,192,1
FOS2,12,5
FOS2,4,3
FOS2,23,2
FOS2,9,1
GEN1,172,5
GEN1,177,3
GEN1,174,2
GEN1,12,1
GOM1,7,5
GOM1,12,3
