sauthorID,sauthor_name,sauthor_URL,sauthor_description,impressum_URL
42,Veritasium,https://www.youtube.com/@veritasium,"An element of truth - videos about science, education, and anything else I find interesting.",
31,3Blue1Brown,https://www.youtube.com/@3blue1brown,"My name is Grant Sanderson. Videos here cover a variety of topics in math, or adjacent fields like physics and CS, all with an emphasis on visualizing the core ideas. The goal is to use animation to help elucidate and motivate otherwise tricky topics, and for difficult problems to be made simple with changes in perspective.<br><br>For more information, other projects, FAQs, and inquiries see the website: https://www.3blue1brown.com",
50,Steve Mould,https://www.youtube.com/@SteveMould,"I make videos about science.",
1,Vsauce,https://www.youtube.com/@Vsauce,"Our World is Amazing.",
2,Vsauce2,https://www.youtube.com/@Vsauce2,"Welcome to the official Vsauce2 YouTube channel! Hosted by Kevin Lieber, Vsauce2<br>explores recreational mathematics including, paradoxes, math games, riddles and more to uncover the surprising complexity beneath seemingly simple concepts.<br><br>Vsauce2 launched in December 2010 and is run by Kevin Lieber.",
12,Kurzgesagt – In a Nutshell,https://www.youtube.com/@kurzgesagt,"Animation videos explaining things with optimistic nihilism since 12,013.<br><br>We’re a team of illustrators, animators, number crunchers and one dog who aim to spark curiosity about science and the world we live in. To us nothing is boring if you tell a good story.<br><br>For updates on our videos and other news from the kurzgesagt universe follow us on Twitter, Facebook, Instagram and LinkedIn.",
13,Dinge Erklärt – Kurzgesagt,https://www.youtube.com/@KurzgesagtDE,"Dinge erklärt – Kurzgesagt ist ein Wissenschaftskanal der komplexe Themen aus Raumfahrt, Physik, Biologie, Politik, und Philosophie einfach und verständlich in animierter Form erklärt. Hier kommt ca. alle 2 -3 Wochen ein neues Video auf deutsch.",
314,Stand-up Maths,https://www.youtube.com/@standupmaths,"I do mathematics and stand-up. Sometimes simultaneously. Occasionally while being filmed. (It's quite the Venn diagram.)",
5300,CGP Grey,https://www.youtube.com/@CGPGrey,"",
60137,minutephysics,https://www.youtube.com/@MinutePhysics,"Simply put: cool physics and other sweet science.<br><br>""If you can't explain it simply, you don't understand it well enough.""<br>~Rutherford via Einstein? (wikiquote)<br><br>Created by Henry Reich",
60365,MinuteEarth,https://www.youtube.com/@MinuteEarth,"Science and stories about our awesome planet!",
1618,Physics Girl,https://www.youtube.com/@physicsgirl,"Physics Girl is a YouTube channel created by Dianna Cowern that adventures into the physical sciences with experiments, demonstrations, and cool new discoveries. Physics Girl has videos for every atom and eve.",
2718,Numberphile,https://www.youtube.com/@numberphile,"Videos about numbers and mathematics. Videos by Brady Haran since 2011.<br>Our thanks to Jane Street and our Patreon supporters.",
1234,SmarterEveryDay,https://www.youtube.com/@smartereveryday,"I explore the world using science.  That's pretty much all there is to it.  Watch 2 videos. If you learn something AWESOME, please subscribe if you feel like I earned it.",
40076,Atlas Pro,https://www.youtube.com/@AtlasPro1,"Geography, geology, biology, and ecology.",
