topicID,level_number,description
MAT0,1,"Basic arithmetic operations, simple equations, and fundamental geometry. This level establishes the essential foundations for mathematical thinking and problem solving."
MAT0,2,"Expanded algebra concepts, an introduction to trigonometry, and basic statistics and probability. At this level, students begin to explore deeper relationships between numbers and shapes."
MAT0,3,"Advanced trigonometry, an introduction to calculus including derivatives and integrals, and more complex statistical methods. This level prepares students for higher-level mathematical analysis."
MAT0,4,"Advanced calculus topics such as integration techniques and differential equations, coupled with an introduction to linear algebra. This level serves as a gateway to specialized mathematical studies."
GEM1,3,"Analytic geometry combined with an introduction to differential geometry, building upon the foundations laid in General Mathematics Level 2. This level initiates the study of spatial relationships in a rigorous manner."
GEM1,4,"A deeper exploration of differential geometry and Riemannian geometry, focusing on the properties of curved surfaces and the fundamental theorems that describe them."
GEM1,5,"An introduction to topology, covering the basic concepts of point-set and algebraic topology. This level develops a rigorous framework for understanding continuity and spatial connectivity."
GEM1,6,"Advanced topics in geometry including nonlinear and symplectic geometry. Students explore complex geometric structures and invariants beyond classical Euclidean settings."
GEM1,7,"Research-level topics in geometry such as differential topology and higher-dimensional Riemannian geometry, encouraging innovative exploration and critical analysis."
STO1,4,"Introduction to stochastics: establishing the fundamentals of probability theory and basic statistical methods. This level lays the groundwork for probabilistic reasoning."
STO1,5,"Advanced stochastics: an exploration of stochastic processes and advanced probability models, enhancing understanding of random phenomena in real-world contexts."
STO1,6,"Application of stochastics: studying Markov chains, time series analysis, multivariate statistics, and Bayesian methods to model and analyze complex data."
STO1,7,"Research topics in stochastics: delving into stochastic differential equations and ergodic theory, this level promotes innovative research in probability theory."
NUM1,4,"Advanced numerical methods: detailed exploration of numerical integration and iterative solution techniques, essential for solving complex mathematical problems computationally."
NUM1,5,"Computational mathematics: focusing on numerical linear algebra and finite element methods to achieve precise approximations in complex systems."
NUM1,6,"Optimization and simulation: advanced techniques for optimization and simulation, providing practical tools for modeling and analyzing dynamic systems."
NUM1,7,"Research topics in numerical analysis: studying high-dimensional numerical methods and the numerical analysis of complex systems to foster innovative computational research."
ANA1,5,"Advanced analysis: in-depth study of sophisticated integration and differentiation techniques that extend beyond basic calculus, preparing students for higher-level mathematical challenges."
ANA1,6,"Functional analysis: an introduction to the principles of functional analysis and differential geometry, emphasizing abstract structures and infinite-dimensional spaces."
ANA1,7,"Research-level analysis: exploration of measure theory, integration theory, and advanced optimization methods, encouraging innovative approaches to continuous mathematics."
ALG1,5,"Advanced linear algebra: a comprehensive study of advanced concepts in linear algebra and vector operations, laying the groundwork for further abstract studies."
ALG1,6,"Abstract algebra and group theory: exploring fundamental structures such as groups and rings, and fostering deep analytical thinking in abstract algebra."
ALG1,7,"Research topics in algebra: investigating ring theory, module theory, and homomorphisms to promote innovative theoretical research in abstract algebra."
BIO0,1,"Introduces basic biological concepts such as cell structure, an introduction to genetics, and fundamental ecology. This level lays the groundwork for understanding life at the most basic level."
BIO0,2,"Covers advanced cell biology, Mendelian genetics, and the study of populations and communities. Students begin to appreciate the complexity of living systems."
BIO0,3,"Explores molecular genetics, theories of evolution, and the diversity of ecosystems. This level deepens the understanding of biological processes at a molecular and systemic level."
BIO0,4,"Focuses on advanced evolution theory, gene expression, and regulatory mechanisms, along with the study of complex ecosystem dynamics. It prepares students for specialized studies in life sciences."
BIT1,5,"Introduces the fundamentals of biotechnology including genetic engineering techniques, cell culture methods, and industrial biotechnology. This level is designed as an entry point into applied biological technologies."
BIT1,6,"Delves into advanced biotechnology topics such as protein engineering, bioinformatics, and synthetic biology, equipping students with practical and innovative skills."
BIT1,7,"Covers research-oriented topics in biotechnology, emphasizing the development of new biotechnological methods, genetic modifications, and innovative applications in medicine and environmental science."
ECL1,5,"Presents the basic principles of ecology, including the formulation of ecological models, biodiversity management, and environmental ethics. This level establishes a foundation in ecosystem studies."
ECL1,6,"Explores advanced ecological topics, focusing on the impact of climate change, sustainable development, and strategies for ecosystem restoration."
ECL1,7,"Engages with research-level topics in ecology, encouraging the development of new ecological models, innovative approaches to global environmental challenges, and sustainable solutions."
CHM0,1,"Introduces chemical fundamentals such as atomic structure, basic chemical bonding, and stoichiometry. This level lays the groundwork for understanding matter at the atomic level."
CHM0,2,"Covers the periodic table, elemental properties, and fundamental chemical reactions, while providing an introduction to organic chemistry concepts."
CHM0,3,"Focuses on thermodynamics, reaction kinetics, and the study of macromolecules and biochemistry, deepening the understanding of chemical processes."
CHM0,4,"Explores advanced reaction mechanisms, spectroscopy, and analytical techniques used in complex organic syntheses, preparing students for specialized chemical studies."
ORG1,5,"Introduces advanced concepts in organic chemistry, focusing on reaction mechanisms, synthesis of organic compounds, and the role of functional groups in determining chemical behavior."
ORG1,6,"Examines specialized topics in organic chemistry such as complex synthetic pathways, chiral chemistry, and polymer synthesis, emphasizing both theory and practical applications."
ORG1,7,"Delves into research-level topics in organic chemistry, including the development of novel synthetic methods and innovative applications in pharmaceuticals and material sciences."
ANC1,5,"Covers the basics of analytical chemistry, introducing techniques such as spectroscopy and chromatography for qualitative and quantitative analysis."
ANC1,6,"Explores advanced analytical methods including mass spectrometry, electroanalytical techniques, and sophisticated chromatographic methods to achieve high-precision analysis."
ANC1,7,"Focuses on research and innovation in analytical chemistry, emphasizing the development of new analytical methods and sensor technologies for diverse applications in environmental and biochemical fields."
PHY0,1,"Introduces the fundamental laws of physics including basic mechanics, the principles of thermodynamics, and an introduction to optics, establishing a core understanding of natural phenomena."
PHY0,2,"Covers Newtonian mechanics, concepts of energy and work, and an introduction to wave theory and oscillations, reinforcing the basic physical principles."
PHY0,3,"Explores electromagnetism, thermodynamics, and modern physics concepts including an introduction to quantum mechanics and relativity, expanding the understanding of both classical and modern theories."
PHY0,4,"Focuses on advanced topics in electromagnetism, in-depth thermodynamic processes, and the foundational aspects of quantum mechanics, preparing students for specialized studies in physics."
AST1,5,"Introduces the basics of astrophysics, covering stellar evolution, galaxy structure, and the fundamentals of cosmology as a specialization building on general physics."
AST1,6,"Explores advanced topics in astrophysics such as exoplanet research, the physics of black holes, and the roles of dark matter and dark energy in the universe."
AST1,7,"Focuses on research-oriented aspects of astrophysics, including the development of new telescope technologies and innovative models of cosmological theories."
PAR1,5,"Covers the fundamentals of particle physics, including an overview of the Standard Model, and introduces key concepts such as quarks, leptons, and fundamental forces."
PAR1,6,"Explores advanced topics in particle physics, including the properties of the Higgs boson, supersymmetry, and modern accelerator technologies."
PAR1,7,"Engages with research-level particle physics by examining theories beyond the Standard Model and innovative experimental approaches to understanding fundamental particles and forces."
INF0,1,"Introduces fundamental computing concepts, basic computer literacy, and the role of computers in modern society. This level establishes the core foundation for all further studies in computer science."
INF0,2,"Focuses on basic programming principles, simple algorithms, and data structures, along with an introduction to software applications and databases. Students gain hands-on coding experience."
