key,description,attached to,status,suggested key
humanities,Study of arts languages history and philosophy.,,valid,
humanities.music,Study of sound composition performance and musical cultures.,,valid,
humanities.music.accompanying,Study of supporting a soloist or ensemble with harmonic and rhythmic backing.,,valid,
humanities.music.chamber-music,Study of small ensemble performance and repertoire.,,valid,
humanities.music.church-music,Study of music used in religious worship traditions.,,valid,
humanities.music.conducting,Study of directing musical ensembles.,,valid,
humanities.music.conducting.choral-conducting,Study of directing choirs.,,valid,
humanities.music.conducting.orchestral-conducting,Study of directing orchestras.,,valid,
humanities.music.conducting.wind-ensemble-conducting,Study of directing wind ensembles and bands.,,valid,
humanities.music.early-music,Study of historical music from earlier periods.,,valid,
humanities.music.jazz-studies,Study of jazz history theory and performance practice.,,valid,
humanities.music.musical-composition,Study of creating original music.,,valid,
humanities.music.music-education,Study of teaching and learning music.,Psychology|1;Music|1,valid,
humanities.music.music-genre,Study of classification and characteristics of musical styles.,,valid,
humanities.music.music-history,Study of the historical development of music.,History|1,valid,
humanities.music.musicology,Study of music.,,valid,
humanities.music.musicology.historical-musicology,Study of music in historical context.,History|1,valid,
humanities.music.musicology.systematic-musicology,Study of music using scientific and analytic methods.,Scientific thinking|1,valid,
humanities.music.musicology.ethnomusicology,Study of music in cultural and social context.,Cultural studies|1;Music|1,valid,
humanities.music.music-theory,Study of the structures and systems of music.,,valid,
humanities.music.orchestral-studies,Study of orchestral repertoire and performance practice.,,valid,
humanities.music.organology,Study of musical instruments and their classification.,,valid,
humanities.music.organology.organ-and-historical-keyboards,Study of keyboard instruments and their history.,,valid,
humanities.music.organology.piano,Study of the piano as an instrument and performance practice.,,valid,
humanities.music.organology.strings-harp-oud-and-guitar,Study of plucked and bowed string instruments.,,valid,
humanities.music.organology.singing,Study of the voice as a musical instrument.,,valid,
humanities.music.organology.woodwinds-brass-and-percussion,Study of wind and percussion instruments.,,valid,
humanities.music.recording,Study of sound recording and production.,Physics|1,valid,
humanities.performing-arts,Study of live performance disciplines such as dance theatre and film.,,valid,
humanities.performing-arts.dance,Study of movement performance and choreography.,,valid,
humanities.performing-arts.dance.choreography,Study of designing dance movement and structure.,,valid,
humanities.performing-arts.dance.dance-notation,Study of systems for recording and documenting dance.,,valid,
humanities.performing-arts.dance.ethnochoreology,Study of dance in cultural and social context.,Cultural studies|1,valid,
humanities.performing-arts.dance.history-of-dance,Study of the historical development of dance.,History|1,valid,
humanities.performing-arts.television,Study of television as a medium and cultural form.,Communication|0,valid,
humanities.performing-arts.television.television-studies,Study of television content history and impact.,Communication|0,valid,
humanities.performing-arts.theatre,Study of performance staging and dramatic literature.,,valid,
humanities.performing-arts.theatre.acting,Study of performance techniques and character portrayal.,,valid,
humanities.performing-arts.theatre.directing,Study of guiding theatrical production and interpretation.,,valid,
humanities.performing-arts.theatre.dramaturgy,Study of dramatic structure theory and play analysis.,,valid,
humanities.performing-arts.theatre.history-of-theatre,Study of the development of theatrical forms and practices.,History|1,valid,
humanities.performing-arts.theatre.musical-theatre,Study of staged works that combine drama music and song.,Music|1,valid,
humanities.performing-arts.theatre.playwrighting,Study of writing plays and dramatic scripts.,Literature|1;Performing arts|1,valid,
humanities.performing-arts.theatre.puppetry,Study of performance using puppets and object manipulation.,,valid,
humanities.performing-arts.theatre.scenography,Study of visual and spatial design for stage productions.,Visual arts|1,valid,
humanities.performing-arts.theatre.stage-design,Study of designing sets scenery and stage spaces.,Visual arts|1,valid,
humanities.performing-arts.theatre.ventriloquism,Study of performance using vocal illusion and puppets.,,valid,
humanities.performing-arts.film,Study of motion picture art industry and culture.,Communication|0,valid,
humanities.performing-arts.film.film-criticism,Study of and evaluates films and their cultural impact.,Cultural studies|1,valid,
humanities.performing-arts.film.filmmaking,Study of production of films from development to postproduction.,Communication|1,valid,
humanities.performing-arts.film.film-theory,Study of principles and frameworks for understanding film.,Philosophy|1,valid,
humanities.performing-arts.film.film-studies,Study of film history aesthetics and interpretation.,Cultural studies|1;Communication|0,valid,
humanities.performing-arts.film.live-action,Study of filmmaking with real actors and physical environments.,,valid,
humanities.performing-arts.oral-literature,Study of spoken narrative traditions and performance.,Literature|1,valid,
humanities.performing-arts.oral-literature.public-speaking,Study of preparation and delivery of speeches.,Communication|0,valid,
humanities.performing-arts.oral-literature.performance-poetry,Study of poetry written for spoken performance.,Literature|0,valid,
humanities.performing-arts.oral-literature.spoken-word,Study of expressive spoken poetry and oral performance.,Literature|0,valid,
humanities.performing-arts.oral-literature.storytelling,Study of narrative techniques for oral and performative contexts.,Literature|1,valid,
humanities.performing-arts.electronic-game,Study of interactive digital play and design.,Technology|1,valid,
humanities.performing-arts.electronic-game.arcade-game,Study of coin operated electronic games and their design.,Technology|1,valid,
