key,name,description,attached to,layer,type,url
humanities,Humanities,Study of arts languages history and philosophy.,,0,,https://en.wikipedia.org/wiki/Humanities
humanities.music,Music,Study of sound composition performance and musical cultures.,,1,S0,https://en.wikipedia.org/wiki/Music
humanities.music.accompanying,Accompanying,Study of supporting a soloist or ensemble with harmonic and rhythmic backing.,Music|0,2,S,https://en.wikipedia.org/wiki/Accompaniment
humanities.music.chamber-music,Chamber music,Study of small ensemble performance and repertoire.,Music|0,2,S,https://en.wikipedia.org/wiki/Chamber_music
humanities.music.church-music,Church music,Study of music used in religious worship traditions.,Music|0,2,S,https://en.wikipedia.org/wiki/Church_music
humanities.music.conducting,Conducting,Study of directing musical ensembles.,Music|0,2,S,https://en.wikipedia.org/wiki/Conducting
humanities.music.conducting.choral-conducting,Choral conducting,Study of directing choirs.,Conducting|0,3,S,https://en.wikipedia.org/wiki/Choir
humanities.music.conducting.orchestral-conducting,Orchestral conducting,Study of directing orchestras.,Conducting|0,3,S,https://en.wikipedia.org/wiki/Orchestra
humanities.music.conducting.wind-ensemble-conducting,Wind ensemble conducting,Study of directing wind ensembles and bands.,Conducting|0,3,S,https://en.wikipedia.org/wiki/Concert_band
humanities.music.early-music,Early music,Study of historical music from earlier periods.,Music|0,2,S,https://en.wikipedia.org/wiki/Early_music
humanities.music.jazz-studies,Jazz studies,Study of jazz history theory and performance practice.,Music|0,2,S,https://en.wikipedia.org/wiki/Jazz
humanities.music.musical-composition,Musical composition,Study of creating original music.,Music|0,2,S,https://en.wikipedia.org/wiki/Musical_composition
humanities.music.music-education,Music education,Study of teaching and learning music.,Music|0;Psychology|1,2,S,https://en.wikipedia.org/wiki/Music_education
humanities.music.music-genre,Music genre,Study of classification and characteristics of musical styles.,Music|0,2,S,https://en.wikipedia.org/wiki/Music_genre
humanities.music.music-history,Music history,Study of the historical development of music.,Music|0;History|1,2,S,https://en.wikipedia.org/wiki/Music_history
humanities.music.musicology,Musicology,Study of music.,Music|0,2,S,https://en.wikipedia.org/wiki/Musicology
humanities.music.musicology.historical-musicology,Historical musicology,Study of music in historical context.,Musicology|0;History|1,3,S,https://en.wikipedia.org/wiki/Music_history
humanities.music.musicology.systematic-musicology,Systematic musicology,Study of music using scientific and analytic methods.,Musicology|0;Scientific thinking|1,3,S,https://en.wikipedia.org/wiki/Systematic_musicology
humanities.music.musicology.ethnomusicology,Ethnomusicology,Study of music in cultural and social context.,Musicology|0;Cultural studies|1,3,S,https://en.wikipedia.org/wiki/Ethnomusicology
humanities.music.music-theory,Music theory,Study of the structures and systems of music.,Music|0,2,S,https://en.wikipedia.org/wiki/Music_theory
humanities.music.orchestral-studies,Orchestral studies,Study of orchestral repertoire and performance practice.,Music|0,2,S,https://en.wikipedia.org/wiki/Orchestra
humanities.music.organology,Organology,Study of musical instruments and their classification.,Music|0,2,S,https://en.wikipedia.org/wiki/Organology
humanities.music.organology.organ-and-historical-keyboards,Organ and historical keyboards,Study of keyboard instruments and their history.,Organology|0,3,S,https://en.wikipedia.org/wiki/Organ_(music)
humanities.music.organology.piano,Piano,Study of the piano as an instrument and performance practice.,Organology|0,3,S,https://en.wikipedia.org/wiki/Piano
humanities.music.organology.strings-harp-oud-and-guitar,"Strings, harp, oud, and guitar",Study of plucked and bowed string instruments.,Organology|0,3,S,https://en.wikipedia.org/wiki/String_instrument
humanities.music.organology.singing,Singing,Study of the voice as a musical instrument.,Organology|0,3,S,https://en.wikipedia.org/wiki/Singing
humanities.music.organology.woodwinds-brass-and-percussion,"Woodwinds, brass, and percussion",Study of wind and percussion instruments.,Organology|0,3,S,https://en.wikipedia.org/wiki/Woodwind_instrument
humanities.music.recording,Recording,Study of sound recording and production.,Music|0;Physics|1,2,S,https://en.wikipedia.org/wiki/Sound_recording_and_reproduction
humanities.performing-arts,Performing arts,Study of live performance disciplines such as dance theatre and film.,,1,S0,https://en.wikipedia.org/wiki/Outline_of_performing_arts
humanities.performing-arts.dance,Dance,Study of movement performance and choreography.,Performing arts|0,2,P,https://en.wikipedia.org/wiki/Dance
humanities.performing-arts.dance.choreography,Choreography,Study of designing dance movement and structure.,Dance|0,3,S,https://en.wikipedia.org/wiki/Choreography
humanities.performing-arts.dance.dance-notation,Dance notation,Study of systems for recording and documenting dance.,Dance|0,3,S,https://en.wikipedia.org/wiki/Dance_notation
humanities.performing-arts.dance.ethnochoreology,Ethnochoreology,Study of dance in cultural and social context.,Dance|0;Cultural studies|1,3,S,https://en.wikipedia.org/wiki/Ethnochoreology
humanities.performing-arts.dance.history-of-dance,History of dance,Study of the historical development of dance.,Dance|0;History|1,3,S,https://en.wikipedia.org/wiki/History_of_dance
humanities.performing-arts.television,Television,Study of television as a medium and cultural form.,Performing arts|0;Communication|0,2,S,https://en.wikipedia.org/wiki/Television
