key,name,description,attached to,layer,type,kind,url
humanities,Humanities,,,0,,group,https://en.wikipedia.org/wiki/Humanities
humanities.performing-arts,Performing arts,,Humanities|0,1,S,discipline,https://en.wikipedia.org/wiki/Outline_of_performing_arts
humanities.performing-arts.music,Music,,Performing arts|0,2,S,subdiscipline,https://en.wikipedia.org/wiki/Music
humanities.performing-arts.music.accompanying,Accompanying,,Music|0,3,S,subdiscipline,https://en.wikipedia.org/wiki/Accompaniment
humanities.performing-arts.music.chamber-music,Chamber music,,Music|0,3,S,subdiscipline,https://en.wikipedia.org/wiki/Chamber_music
humanities.performing-arts.music.church-music,Church music,,Music|0,3,S,subdiscipline,https://en.wikipedia.org/wiki/Church_music
humanities.performing-arts.music.conducting,Conducting,,Music|0,3,S,subdiscipline,https://en.wikipedia.org/wiki/Conducting
humanities.performing-arts.music.conducting.choral-conducting,Choral conducting,,Conducting|0,4,S,subdiscipline,https://en.wikipedia.org/wiki/Choir
humanities.performing-arts.music.conducting.orchestral-conducting,Orchestral conducting,,Conducting|0,4,S,subdiscipline,https://en.wikipedia.org/wiki/Orchestra
humanities.performing-arts.music.conducting.wind-ensemble-conducting,Wind ensemble conducting,,Conducting|0,4,S,subdiscipline,https://en.wikipedia.org/wiki/Concert_band
humanities.performing-arts.music.early-music,Early music,,Music|0,3,S,subdiscipline,https://en.wikipedia.org/wiki/Early_music
humanities.performing-arts.music.jazz-studies,Jazz studies,,Music|0,3,S,subdiscipline,https://en.wikipedia.org/wiki/Jazz
humanities.performing-arts.music.musical-composition,Musical composition,,Music|0,3,S,subdiscipline,https://en.wikipedia.org/wiki/Musical_composition
humanities.performing-arts.music.music-education,Music education,,Music|0,3,S,subdiscipline,https://en.wikipedia.org/wiki/Music_education
humanities.performing-arts.music.music-genre,Music genre,,Music|0,3,S,subdiscipline,https://en.wikipedia.org/wiki/Music_genre
humanities.performing-arts.music.music-history,Music history,,Music|0,3,S,subdiscipline,https://en.wikipedia.org/wiki/Music_history
humanities.performing-arts.music.musicology,Musicology,,Music|0,3,S,subdiscipline,https://en.wikipedia.org/wiki/Musicology
humanities.performing-arts.music.musicology.historical-musicology,Historical musicology,,Musicology|0,4,S,subdiscipline,https://en.wikipedia.org/wiki/Music_history
humanities.performing-arts.music.musicology.systematic-musicology,Systematic musicology,,Musicology|0,4,S,subdiscipline,https://en.wikipedia.org/wiki/Systematic_musicology
humanities.performing-arts.music.musicology.ethnomusicology,Ethnomusicology,,Musicology|0,4,S,subdiscipline,https://en.wikipedia.org/wiki/Ethnomusicology
humanities.performing-arts.music.music-theory,Music theory,,Music|0,3,S,subdiscipline,https://en.wikipedia.org/wiki/Music_theory
humanities.performing-arts.music.orchestral-studies,Orchestral studies,,Music|0,3,S,subdiscipline,https://en.wikipedia.org/wiki/Orchestra
humanities.performing-arts.music.organology,Organology,,Music|0,3,S,subdiscipline,https://en.wikipedia.org/wiki/Organology
humanities.performing-arts.music.organology.organ-and-historical-keyboards,Organ and historical keyboards,,Organology|0,4,S,subdiscipline,https://en.wikipedia.org/wiki/Organ_(music)
humanities.performing-arts.music.organology.piano,Piano,,Organology|0,4,S,subdiscipline,https://en.wikipedia.org/wiki/Piano
humanities.performing-arts.music.organology.strings-harp-oud-and-guitar,"Strings, harp, oud, and guitar",,Organology|0,4,S,subdiscipline,https://en.wikipedia.org/wiki/String_instrument
