key,name,description,attached to,layer,type,url
humanities,Humanities,,,0,,https://en.wikipedia.org/wiki/Humanities
humanities.music,Music,,,1,S0,https://en.wikipedia.org/wiki/Music
humanities.music.accompanying,Accompanying,,Music|0,2,S,https://en.wikipedia.org/wiki/Accompaniment
humanities.music.chamber-music,Chamber music,,Music|0,2,S,https://en.wikipedia.org/wiki/Chamber_music
humanities.music.church-music,Church music,,Music|0,2,S,https://en.wikipedia.org/wiki/Church_music
humanities.music.conducting,Conducting,,Music|0,2,S,https://en.wikipedia.org/wiki/Conducting
humanities.music.conducting.choral-conducting,Choral conducting,,Conducting|0,3,S,https://en.wikipedia.org/wiki/Choir
humanities.music.conducting.orchestral-conducting,Orchestral conducting,,Conducting|0,3,S,https://en.wikipedia.org/wiki/Orchestra
humanities.music.conducting.wind-ensemble-conducting,Wind ensemble conducting,,Conducting|0,3,S,https://en.wikipedia.org/wiki/Concert_band
humanities.music.early-music,Early music,,Music|0,2,S,https://en.wikipedia.org/wiki/Early_music
humanities.music.jazz-studies,Jazz studies,,Music|0,2,S,https://en.wikipedia.org/wiki/Jazz
humanities.music.musical-composition,Musical composition,,Music|0,2,S,https://en.wikipedia.org/wiki/Musical_composition
humanities.music.music-education,Music education,,Music|0,2,S,https://en.wikipedia.org/wiki/Music_education
humanities.music.music-genre,Music genre,,Music|0,2,S,https://en.wikipedia.org/wiki/Music_genre
humanities.music.music-history,Music history,,Music|0,2,S,https://en.wikipedia.org/wiki/Music_history
humanities.music.musicology,Musicology,,Music|0,2,S,https://en.wikipedia.org/wiki/Musicology
humanities.music.musicology.historical-musicology,Historical musicology,,Musicology|0,3,S,https://en.wikipedia.org/wiki/Music_history
humanities.music.musicology.systematic-musicology,Systematic musicology,,Musicology|0,3,S,https://en.wikipedia.org/wiki/Systematic_musicology
humanities.music.musicology.ethnomusicology,Ethnomusicology,,Musicology|0,3,S,https://en.wikipedia.org/wiki/Ethnomusicology
humanities.music.music-theory,Music theory,,Music|0,2,S,https://en.wikipedia.org/wiki/Music_theory
humanities.music.orchestral-studies,Orchestral studies,,Music|0,2,S,https://en.wikipedia.org/wiki/Orchestra
humanities.music.organology,Organology,,Music|0,2,S,https://en.wikipedia.org/wiki/Organology
humanities.music.organology.organ-and-historical-keyboards,Organ and historical keyboards,,Organology|0,3,S,https://en.wikipedia.org/wiki/Organ_(music)
humanities.music.organology.piano,Piano,,Organology|0,3,S,https://en.wikipedia.org/wiki/Piano
humanities.music.organology.strings-harp-oud-and-guitar,"Strings, harp, oud, and guitar",,Organology|0,3,S,https://en.wikipedia.org/wiki/String_instrument
humanities.music.organology.singing,Singing,,Organology|0,3,S,https://en.wikipedia.org/wiki/Singing
humanities.music.organology.woodwinds-brass-and-percussion,"Woodwinds, brass, and percussion",,Organology|0,3,S,https://en.wikipedia.org/wiki/Woodwind_instrument
humanities.music.recording,Recording,,Music|0,2,S,https://en.wikipedia.org/wiki/Sound_recording_and_reproduction
