resourceID,tagID,weight
42000,138,5
42000,16,4
42000,142,3
42000,154,2
42000,149,1
42001,16,5
42001,38,4
42001,7,3
42001,41,2
42001,42,1
42002,16,5
42002,3,4
42002,35,3
42002,36,2
42002,38,1
42003,16,5
42003,12,4
42003,13,3
42003,35,2
42003,8,1
42004,16,5
42004,3,4
42004,12,3
42004,14,2
42004,2,1
42005,16,5
42005,3,4
42005,12,3
42005,138,2
42005,35,1
42006,16,5
42006,12,4
42006,13,3
42006,3,2
42006,36,1
42007,16,5
42007,12,4
42007,38,3
42007,13,2
42007,35,1
42008,16,5
42008,42,4
42008,37,3
42008,99,2
42008,36,1
42009,16,5
42009,36,4
42009,41,3
42009,94,2
42009,97,1
42010,16,5
42010,36,4
42010,39,3
42010,41,2
42010,99,1
42011,138,5
42011,16,4
42011,135,3
42011,139,2
42011,141,1
42012,16,5
42012,38,4
42012,39,3
42012,42,2
42012,12,1
42013,16,5
42013,94,4
42013,97,3
42013,99,2
42013,42,1
42014,16,5
42014,42,4
42014,43,3
42014,36,2
42014,135,1
42015,16,5
42015,12,4
42015,38,3
42015,39,2
42015,8,1
42016,16,5
42016,36,4
42016,42,3
42016,38,2
42016,99,1
42017,16,5
42017,42,4
42017,35,3
42017,38,2
42017,99,1
42018,16,5
42018,99,4
42018,94,3
42018,36,2
42018,37,1
42019,16,5
42019,12,4
42019,35,3
42019,38,2
42019,99,1
42020,16,5
42020,86,4
42020,135,3
42020,138,2
42020,77,1
42021,16,5
42021,99,4
42021,94,3
42021,96,2
42021,36,1
42022,36,5
42022,16,4
42022,37,3
42022,3,2
42022,38,1
42023,16,5
42023,36,4
42023,35,3
42023,34,2
42023,39,1
42024,2,5
42024,16,4
42024,13,3
42024,12,2
42024,38,1
42025,16,5
42025,38,4
42025,37,3
42025,36,2
42025,39,1
42026,16,5
42026,3,4
42026,12,3
42026,35,2
42026,2,1
42027,16,5
42027,119,4
42027,150,3
42027,120,2
42027,125,1
42028,16,5
42028,174,4
42028,36,3
42028,94,2
42028,99,1
42029,16,5
42029,36,4
42029,38,3
42029,39,2
42029,171,1
42030,97,5
42030,147,4
42030,149,3
42030,100,2
42030,156,1
42031,16,5
42031,12,4
42031,36,3
42031,37,2
42031,38,1
42032,16,5
42032,94,4
42032,96,3
42032,93,2
42032,60,1
42033,143,5
42033,156,4
42033,157,3
42033,149,2
42033,138,1
42034,138,5
42034,16,4
42034,17,3
42034,143,2
42034,139,1
42035,16,5
42035,42,4
42035,36,3
42035,97,2
42035,106,1
42036,16,5
42036,36,4
42036,42,3
42036,99,2
42036,43,1
42037,17,5
42037,16,4
42037,38,3
42037,39,2
42037,32,1
42038,16,5
42038,97,4
42038,17,3
42038,42,2
42038,96,1
42039,16,5
42039,38,4
42039,39,3
42039,36,2
42039,37,1
42040,16,5
42040,38,4
42040,39,3
42040,37,2
42040,41,1
42041,16,5
42041,12,4
42041,38,3
42041,39,2
42041,17,1
42042,16,5
42042,12,4
42042,36,3
42042,37,2
42042,38,1
42043,16,5
42043,12,4
42043,33,3
42043,99,2
42043,36,1
42044,16,5
42044,36,4
42044,38,3
42044,98,2
42044,37,1
42045,16,5
42045,143,4
42045,157,3
42045,36,2
42045,98,1
42046,16,5
42046,38,4
42046,37,3
42046,35,2
42046,105,1
42047,16,5
42047,38,4
42047,17,3
42047,36,2
42047,37,1
42048,3,5
42048,16,4
42048,24,3
42048,8,2
42048,4,1
42049,3,5
42049,16,4
42049,35,3
42049,34,2
42049,2,1
42050,16,5
42050,3,4
42050,105,3
42050,12,2
42050,4,1
42051,99,5
42051,36,4
42051,38,3
42051,16,2
42051,163,1
42052,16,5
42052,36,4
42052,32,3
42052,38,2
42052,44,1
42053,15,5
42053,17,4
42053,1,3
42053,198,2
42053,199,1
42054,16,5
42054,98,4
42054,99,3
42054,37,2
42054,100,1
42055,16,5
42055,36,4
42055,3,3
42055,37,2
42055,14,1
42056,16,5
42056,94,4
42056,97,3
42056,99,2
42056,36,1
42057,16,5
42057,36,4
42057,43,3
42057,37,2
42057,106,1
42058,99,5
42058,96,4
42058,36,3
42058,143,2
42058,16,1
42059,99,5
42059,16,4
42059,173,3
42059,42,2
42059,43,1
42060,16,5
42060,3,4
42060,36,3
42060,37,2
42060,14,1
42061,16,5
42061,138,4
42061,142,3
42061,153,2
42061,139,1
42062,16,5
42062,138,4
42062,150,3
42062,142,2
42062,171,1
42063,16,5
42063,12,4
42063,35,3
42063,37,2
42063,135,1
42064,16,5
42064,3,4
42064,36,3
42064,39,2
42064,37,1
42065,16,5
42065,33,4
42065,37,3
42065,38,2
42065,99,1
42066,15,5
42066,17,4
42066,16,3
42066,1,2
42066,21,1
42067,138,5
42067,16,4
42067,152,3
42067,157,2
42067,149,1
42068,105,5
42068,16,4
42068,157,3
42068,163,2
42068,111,1
42069,16,5
42069,37,4
42069,38,3
42069,39,2
42069,36,1
42070,16,5
42070,12,4
42070,43,3
42070,35,2
42070,7,1
42071,22,5
42071,17,4
42071,16,3
42071,157,2
42071,171,1
42072,16,5
42072,94,4
42072,143,3
42072,99,2
42072,97,1
42073,16,5
42073,42,4
42073,38,3
42073,100,2
42073,99,1
42074,16,5
42074,3,4
42074,35,3
42074,38,2
42074,12,1
42075,12,5
42075,38,4
42075,39,3
42075,41,2
42075,36,1
42076,35,5
42076,36,4
42076,39,3
42076,41,2
42076,38,1
42077,16,5
42077,42,4
42077,36,3
42077,43,2
42077,99,1
42078,99,5
42078,36,4
42078,32,3
42078,38,2
42078,143,1
42079,16,5
42079,157,4
42079,166,3
42079,171,2
42079,167,1
42080,16,5
42080,34,4
42080,37,3
42080,31,2
42080,33,1
42081,138,5
42081,16,4
42081,157,3
42081,121,2
42081,154,1
42082,138,5
42082,16,4
42082,157,3
42082,159,2
42082,149,1
42083,16,5
42083,3,4
42083,36,3
42083,13,2
42083,12,1
42084,138,5
42084,16,4
42084,142,3
42084,43,2
42084,135,1
42085,16,5
42085,36,4
42085,38,3
42085,98,2
42085,93,1
42086,16,5
42086,42,4
42086,36,3
42086,99,2
42086,56,1
42087,99,5
42087,16,4
42087,143,3
42087,37,2
42087,96,1
42088,16,5
42088,94,4
42088,96,3
42088,36,2
42088,37,1
42089,16,5
42089,43,4
42089,39,3
42089,42,2
42089,36,1
42090,138,5
42090,142,4
42090,16,3
42090,35,2
42090,135,1
42091,16,5
42091,38,4
42091,39,3
42091,135,2
42091,42,1
42092,16,5
42092,17,4
42092,3,3
42092,36,2
42092,35,1
42093,3,5
42093,16,4
42093,12,3
42093,13,2
42093,38,1
42094,16,5
42094,37,4
42094,38,3
42094,39,2
42094,267,1
42095,16,5
42095,36,4
42095,44,3
42095,38,2
42095,100,1
42096,16,5
42096,44,4
42096,43,3
42096,38,2
42096,100,1
42097,16,5
42097,17,4
42097,33,3
42097,34,2
42097,99,1
42098,16,5
42098,99,4
42098,43,3
42098,100,2
42098,41,1
42099,16,5
42099,38,4
42099,39,3
42099,43,2
42099,36,1
42100,2,5
42100,16,4
42100,37,3
42100,38,2
42100,39,1
42101,16,5
42101,12,4
42101,38,3
42101,39,2
42101,36,1
42102,16,5
42102,37,4
42102,38,3
42102,36,2
42102,39,1
42103,16,5
42103,12,4
42103,33,3
42103,36,2
42103,35,1
42104,16,5
42104,4,4
42104,12,3
42104,38,2
42104,98,1
42105,16,5
42105,36,4
42105,38,3
42105,39,2
42105,41,1
42106,16,5
42106,157,4
42106,153,3
42106,156,2
42106,100,1
42107,16,5
42107,93,4
42107,38,3
42107,42,2
42107,36,1
42108,3,5
42108,36,4
42108,16,3
42108,35,2
42108,4,1
42109,16,5
42109,86,4
42109,135,3
42109,137,2
42109,138,1
42110,17,5
42110,183,4
42110,174,3
42110,16,2
42110,178,1
42111,16,5
42111,12,4
42111,2,3
42111,171,2
42111,38,1
42112,16,5
42112,37,4
42112,38,3
42112,39,2
42112,41,1
42113,105,5
42113,16,4
42113,93,3
42113,42,2
42113,96,1
42114,7,5
42114,2,4
42114,21,3
42114,22,2
42114,16,1
42115,16,5
42115,37,4
42115,35,3
42115,38,2
42115,8,1
42116,16,5
42116,12,4
42116,35,3
42116,37,2
42116,36,1
42117,16,5
42117,12,4
42117,37,3
42117,3,2
42117,38,1
42118,16,5
42118,13,4
42118,12,3
42118,35,2
42118,8,1
42119,16,5
42119,44,4
42119,36,3
42119,100,2
42119,38,1
42120,16,5
42120,43,4
42120,36,3
42120,135,2
42120,136,1
42121,16,5
